,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Consumer Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Consumer Price Index (CPI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Consumer Price Index (CPI), 2024 As Base Year, Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 23/04/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Index
Data Series,2026 1Q ,2025 4Q ,2025 3Q ,2025 2Q ,2025 1Q ,2024 4Q ,2024 3Q ,2024 2Q ,2024 1Q ,2023 4Q ,2023 3Q ,2023 2Q ,2023 1Q ,2022 4Q ,2022 3Q ,2022 2Q ,2022 1Q ,2021 4Q ,2021 3Q ,2021 2Q ,2021 1Q ,2020 4Q ,2020 3Q ,2020 2Q ,2020 1Q ,2019 4Q ,2019 3Q ,2019 2Q ,2019 1Q ,2018 4Q ,2018 3Q ,2018 2Q ,2018 1Q ,2017 4Q ,2017 3Q ,2017 2Q ,2017 1Q ,2016 4Q ,2016 3Q ,2016 2Q ,2016 1Q ,2015 4Q ,2015 3Q ,2015 2Q ,2015 1Q ,2014 4Q ,2014 3Q ,2014 2Q ,2014 1Q ,2013 4Q ,2013 3Q ,2013 2Q ,2013 1Q ,2012 4Q ,2012 3Q ,2012 2Q ,2012 1Q ,2011 4Q ,2011 3Q ,2011 2Q ,2011 1Q ,2010 4Q ,2010 3Q ,2010 2Q ,2010 1Q ,2009 4Q ,2009 3Q ,2009 2Q ,2009 1Q ,2008 4Q ,2008 3Q ,2008 2Q ,2008 1Q ,2007 4Q ,2007 3Q ,2007 2Q ,2007 1Q ,2006 4Q ,2006 3Q ,2006 2Q ,2006 1Q ,2005 4Q ,2005 3Q ,2005 2Q ,2005 1Q ,2004 4Q ,2004 3Q ,2004 2Q ,2004 1Q ,2003 4Q ,2003 3Q ,2003 2Q ,2003 1Q ,2002 4Q ,2002 3Q ,2002 2Q ,2002 1Q ,2001 4Q ,2001 3Q ,2001 2Q ,2001 1Q ,2000 4Q ,2000 3Q ,2000 2Q ,2000 1Q ,1999 4Q ,1999 3Q ,1999 2Q ,1999 1Q ,1998 4Q ,1998 3Q ,1998 2Q ,1998 1Q ,1997 4Q ,1997 3Q ,1997 2Q ,1997 1Q ,1996 4Q ,1996 3Q ,1996 2Q ,1996 1Q ,1995 4Q ,1995 3Q ,1995 2Q ,1995 1Q ,1994 4Q ,1994 3Q ,1994 2Q ,1994 1Q ,1993 4Q ,1993 3Q ,1993 2Q ,1993 1Q ,1992 4Q ,1992 3Q ,1992 2Q ,1992 1Q ,1991 4Q ,1991 3Q ,1991 2Q ,1991 1Q ,1990 4Q ,1990 3Q ,1990 2Q ,1990 1Q ,1989 4Q ,1989 3Q ,1989 2Q ,1989 1Q ,1988 4Q ,1988 3Q ,1988 2Q ,1988 1Q ,1987 4Q ,1987 3Q ,1987 2Q ,1987 1Q ,1986 4Q ,1986 3Q ,1986 2Q ,1986 1Q ,1985 4Q ,1985 3Q ,1985 2Q ,1985 1Q ,1984 4Q ,1984 3Q ,1984 2Q ,1984 1Q ,1983 4Q ,1983 3Q ,1983 2Q ,1983 1Q ,1982 4Q ,1982 3Q ,1982 2Q ,1982 1Q ,1981 4Q ,1981 3Q ,1981 2Q ,1981 1Q ,1980 4Q ,1980 3Q ,1980 2Q ,1980 1Q ,1979 4Q ,1979 3Q ,1979 2Q ,1979 1Q ,1978 4Q ,1978 3Q ,1978 2Q ,1978 1Q ,1977 4Q ,1977 3Q ,1977 2Q ,1977 1Q ,1976 4Q ,1976 3Q ,1976 2Q ,1976 1Q ,1975 4Q ,1975 3Q ,1975 2Q ,1975 1Q ,1974 4Q ,1974 3Q ,1974 2Q ,1974 1Q ,1973 4Q ,1973 3Q ,1973 2Q ,1973 1Q ,1972 4Q ,1972 3Q ,1972 2Q ,1972 1Q ,1971 4Q ,1971 3Q ,1971 2Q ,1971 1Q ,1970 4Q ,1970 3Q ,1970 2Q ,1970 1Q ,1969 4Q ,1969 3Q ,1969 2Q ,1969 1Q ,1968 4Q ,1968 3Q ,1968 2Q ,1968 1Q ,1967 4Q ,1967 3Q ,1967 2Q ,1967 1Q ,1966 4Q ,1966 3Q ,1966 2Q ,1966 1Q ,1965 4Q ,1965 3Q ,1965 2Q ,1965 1Q ,1964 4Q ,1964 3Q ,1964 2Q ,1964 1Q ,1963 4Q ,1963 3Q ,1963 2Q ,1963 1Q ,1962 4Q ,1962 3Q ,1962 2Q ,1962 1Q ,1961 4Q ,1961 3Q ,1961 2Q ,1961 1Q 
All Items,101.885,101.588,100.91,100.72,100.395,100.389,100.292,99.913,99.406,98.986,98.157,97.232,96.291,95.154,94.287,92.506,90.705,89.217,87.843,87.339,86.727,86.038,85.702,85.373,86.064,86.123,85.926,85.975,85.745,85.58,85.623,85.306,85.319,85.166,85.028,85.028,85.113,84.776,84.65,84.375,84.582,84.753,84.975,85.157,85.3,85.374,85.509,85.513,85.574,85.398,84.645,83.704,84.727,83.708,83.115,82.362,81.469,80.492,79.765,78.244,77.671,76.266,75.575,74.711,73.844,73.353,73.118,72.494,73.169,73.903,73.352,72.369,70.799,69.867,68.814,67.282,66.387,67.017,66.715,66.522,66.469,66.621,66.231,65.744,65.576,65.895,65.926,65.704,65.403,64.817,64.693,64.484,64.61,64.397,64.39,64.387,64.175,64.297,64.667,64.659,64.739,64.424,64.122,63.575,63.647,63.182,63.181,63.069,62.932,62.858,62.978,63.079,63.391,63.752,63.552,63,62.688,62.318,62.116,61.906,61.634,61.332,61.251,61.197,60.821,60.752,60.414,59.948,59.34,58.817,58.43,58.137,57.85,57.458,57.2,56.906,56.447,56.202,55.944,55.641,55.22,54.782,53.965,53.595,53.249,52.821,52.382,51.913,51.285,51.126,51.125,50.811,50.665,50.421,50.34,50.038,49.871,49.789,49.766,49.853,50.298,50.48,50.813,50.659,50.55,50.192,50.536,50.347,50.437,49.421,49.049,48.936,48.993,48.783,48.486,48.36,48.752,48.313,47.793,46.298,44.65,44.01,43.621,42.994,42.267,41.31,40.305,38.975,38.7,38.74,38.635,37.934,37.847,37.461,37.187,36.187,36.338,35.528,35.389,35.542,36.168,36.213,36.414,36.097,36.66,36.472,35.659,35.001,34.6,32.112,30.179,27.58,25.956,24.798,24.224,23.794,24.014,23.815,23.713,23.481,23.791,23.333,23.323,23.138,23.258,23.326,23.18,23.194,23.083,23.095,23.217,23.109,23.473,23.445,23.224,22.671,22.886,22.435,22.39,22.221,22.336,22.101,21.793,21.706,22.005,21.907,21.905,21.623,21.958,21.824,21.329,21.241,21.582,21.12,21.017,20.911,21.135,21.029,20.95,20.742,21.092
  Food,102.365,101.695,101.165,100.953,100.908,100.494,100.059,99.788,99.659,98.104,97.537,97.082,96.237,94.372,93.07,91.048,89.117,87.948,87.408,86.964,86.744,86.303,86.186,86.126,85.458,84.874,84.561,84.254,84.107,83.538,83.367,83.042,82.792,82.38,82.049,81.892,81.702,81.218,80.993,80.772,80.488,79.65,79.32,79.027,78.922,78.328,77.863,77.527,77.189,76.263,75.73,75.172,74.998,74.376,74.074,73.744,73.771,73.177,72.469,72.01,71.602,70.649,70.329,69.967,69.743,69.352,69.203,69.127,69.247,68.824,68.385,67.379,66.235,64.495,63.186,61.791,61.901,61.292,61.14,60.92,60.705,60.308,60.071,59.954,59.985,59.788,59.446,58.978,59.053,58.319,58.123,58.113,58.044,57.691,57.737,57.822,57.966,57.54,57.703,57.773,58.086,57.311,57.333,57.421,57.868,57.249,57.319,57.254,56.897,56.543,56.592,56.729,56.889,56.699,56.709,56.37,56.426,55.84,55.744,55.257,54.874,54.34,54.494,54.079,54.235,53.605,53.377,52.962,52.327,51.442,51.241,51.173,51.201,50.771,50.886,50.833,50.626,50.486,50.256,50.26,49.695,49.396,49.298,49.558,49.362,49.419,49.173,48.981,48.542,48.662,48.824,48.265,48.2,47.942,47.898,47.611,47.838,47.73,47.638,47.902,48.347,48.344,48.786,48.506,48.88,48.418,49.12,49.331,49.956,48.818,48.551,48.281,48.218,48.355,48.044,47.903,48.787,48.137,47.347,45.028,43.408,42.609,42.211,41.747,41.285,40.331,39.463,38.183,37.865,38.195,38.131,37.477,37.77,37.137,36.852,35.156,35.513,34.179,33.956,34.261,35.486,35.897,36.608,36.478,37.799,37.522,36.171,35.41,36.123,34.011,30.849,26.524,24.162,22.296,21.793,21.151,21.542,21.273,21.156,20.853,21.427,20.762,20.754,20.464,20.844,20.973,20.764,20.823,20.743,20.873,21.11,21.03,21.721,21.697,21.366,20.555,20.906,20.27,20.314,20.035,20.176,19.859,19.535,19.375,19.825,19.711,19.841,19.459,19.971,19.744,19.008,18.883,19.417,18.694,18.527,18.367,18.728,18.576,18.445,18.117,18.679
  Food Excl Food & Beverage Serving Services,102.979,101.573,100.807,100.75,101.254,100.723,100.113,99.475,99.69,99.386,99.008,98.682,98.083,96.377,95.048,93.055,91.385,90.196,89.365,88.774,88.727,87.995,88.291,88.385,86.789,85.892,85.366,85.047,85.325,84.772,84.607,84.167,84.273,83.689,83.276,83.205,83.297,82.492,82.273,82.221,82.225,80.628,80.217,80.137,80.754,80.093,79.552,79.131,79.006,77.87,77.289,76.75,76.951,75.868,75.561,75.131,75.546,74.583,73.723,73.376,73.369,71.923,71.522,70.915,70.594,69.695,69.372,69.467,69.959,69.334,68.814,67.424,66.114,63.842,62.141,60.588,61.005,59.766,59.58,59.342,59.26,58.675,58.289,58.192,58.322,58.035,57.511,56.514,56.769,55.616,55.276,55.385,55.277,54.751,54.903,55.052,55.556,55.022,55.442,55.743,56.428,55.309,55.545,55.898,56.751,55.619,55.81,55.777,55.097,54.419,54.661,55.023,55.436,55.302,55.588,55.361,55.593,54.547,54.545,53.922,53.673,52.95,53.5,52.872,53.881,52.949,52.689,52.208,52.188,51.049,50.715,50.873,51.154,50.721,51.074,51.102,50.972,50.764,50.44,50.686,49.85,49.533,49.585,50.345,50.036,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Rice & Cereal Products,102.281,101.961,101.226,101.731,101.566,101.335,99.983,99.705,98.978,98.232,96.848,96.167,94.68,92.925,90.903,89.553,87.713,87.471,86.626,86.698,86.278,86.017,86.434,86.8,85.47,85.048,84.471,84.345,84.155,83.966,83.547,83.127,82.123,82.342,81.683,82.128,81.904,81.835,81.412,81.535,81.271,80.613,80.193,80.708,80.385,80.053,79.508,79.451,78.936,78.999,78.325,78.261,77.809,77.692,77.101,77.372,77.033,76.598,76.088,75.586,75.454,75.153,74.693,74.735,73.928,73.294,72.718,73.215,73.237,73.681,73.102,70.516,65.034,62.992,60.939,60.079,59.287,59.109,58.681,58.764,58.894,58.507,58.194,58.03,57.997,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Rice,98.975,100.719,99.148,101.414,101.034,103.009,98.689,99.166,99.136,100.303,98.563,97.967,94.536,95.493,95.497,95.476,93.512,96.194,95.525,96.945,96.621,95.874,98.877,100.552,97.52,97.992,96.642,96.817,94.601,94.252,93.996,92.845,90.297,91.83,90.715,92.255,91.554,92.341,91.94,92.006,91.907,91.716,90.389,91.905,91.361,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Flour,97.272,96.741,96.412,97.463,99.405,99.841,101.244,99.921,98.995,99.114,100.282,102.735,98.873,92.416,93.02,88.817,87.564,87.119,88.629,87.93,90.867,86.82,90.812,92.573,91.504,92.187,92.137,92.56,92.725,93.342,94.24,90.251,92.47,93.115,94.87,93.927,95.732,93.153,93.438,96.339,93.5,93.451,92.934,93.687,92.27,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Bread,102.931,102.789,102.393,102.618,102.428,101.42,100.051,99.754,98.775,98.045,96.268,95.021,93.449,91.128,88.95,87.536,85.94,85.227,84.207,84.018,82.734,82.974,83.161,83.223,82.505,82.383,82.137,81.913,82.544,82.259,82.049,81.263,79.851,79.972,80.246,79.994,80.179,80.159,79.884,79.541,78.986,78.315,78.162,78.184,77.857,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"      Macaroni, Noodles & Similar Pasta Products",98.61,99.777,98.221,100.748,100.825,101.251,98.284,100.899,99.567,99.719,98.633,99.227,98.154,97.461,93.48,91.533,89.2,88.182,85.984,87.69,86.637,86.351,85.413,87.518,84.911,84.845,83.549,84.551,84.359,84.664,83.897,85.704,85.302,85.15,83.481,84.67,84.542,85.026,83.842,84.602,84.136,83.768,81.853,84.561,84.04,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
