Location,Building Class,Area (SQM),25th Percentile ($ PSM),Median ($ PSM),75th Percentile ($ PSM),Reference Period
Central Area,Category 1,100 & Below,100.00,101.69,103.53,2016Q1
Central Area,Category 1,>100 - 200,94.05,102.28,109.77,2016Q1
Central Area,Category 1,>200 - 500,96.28,99.11,113.01,2016Q1
Central Area,Category 1,>500 - 1000,87.99,99.56,104.95,2016Q1
Central Area,Category 1,>1000,82.35,98.19,101.45,2016Q1
Central Area,Category 2,100 & Below,47.69,58.98,70.49,2016Q1
Central Area,Category 2,>100 - 200,43.08,61.54,84.48,2016Q1
Central Area,Category 2,>200 - 500,55.37,69.96,80.54,2016Q1
Central Area,Category 2,>500 - 1000,65.54,67.55,83.34,2016Q1
Central Area,Category 2,>1000,58.22,64.91,82.34,2016Q1
Central Area,Category 1,100 & Below,99.06,106.57,109.26,2016Q2
Central Area,Category 1,>100 - 200,98.22,105.48,119.12,2016Q2
Central Area,Category 1,>200 - 500,96.88,107.75,118.42,2016Q2
Central Area,Category 1,>500 - 1000,90.54,94.72,102.26,2016Q2
Central Area,Category 1,>1000,93.30,99.56,115.71,2016Q2
Central Area,Category 2,100 & Below,47.64,58.57,71.32,2016Q2
Central Area,Category 2,>100 - 200,48.44,62.41,79.12,2016Q2
Central Area,Category 2,>200 - 500,51.87,61.35,69.91,2016Q2
Central Area,Category 2,>500 - 1000,52.47,62.43,80.94,2016Q2
Central Area,Category 2,>1000,54.36,70.66,75.22,2016Q2
Central Area,Category 1,100 & Below,86.01,94.16,101.05,2016Q3
Central Area,Category 1,>100 - 200,90.59,102.24,116.25,2016Q3
Central Area,Category 1,>200 - 500,96.88,108.65,125.93,2016Q3
Central Area,Category 1,>500 - 1000,91.50,99.03,110.87,2016Q3
Central Area,Category 1,>1000,79.12,92.57,104.14,2016Q3
Central Area,Category 2,100 & Below,45.72,59.20,71.46,2016Q3
Central Area,Category 2,>100 - 200,53.70,63.10,81.78,2016Q3
Central Area,Category 2,>200 - 500,51.62,61.89,75.34,2016Q3
Central Area,Category 2,>500 - 1000,61.28,70.05,82.26,2016Q3
Central Area,Category 2,>1000,79.80,91.50,98.76,2016Q3
Central Area,Category 1,100 & Below,86.36,89.93,103.10,2016Q4
Central Area,Category 1,>100 - 200,80.71,83.80,96.33,2016Q4
Central Area,Category 1,>200 - 500,87.42,104.96,118.42,2016Q4
Central Area,Category 1,>500 - 1000,92.29,99.57,103.87,2016Q4
Central Area,Category 1,>1000,88.53,90.17,99.57,2016Q4
Central Area,Category 2,100 & Below,48.44,59.16,69.75,2016Q4
Central Area,Category 2,>100 - 200,46.49,57.82,73.75,2016Q4
Central Area,Category 2,>200 - 500,53.89,61.35,75.43,2016Q4
Central Area,Category 2,>500 - 1000,53.26,61.54,70.07,2016Q4
Central Area,Category 2,>1000,38.40,58.49,76.17,2016Q4
Central Area,Category 1,100 & Below,96.29,96.86,115.08,2017Q1
Central Area,Category 1,>100 - 200,79.64,95.80,99.55,2017Q1
Central Area,Category 1,>200 - 500,85.03,96.88,107.64,2017Q1
Central Area,Category 1,>500 - 1000,82.88,96.88,107.64,2017Q1
Central Area,Category 1,>1000,83.47,91.49,101.18,2017Q1
Central Area,Category 2,100 & Below,47.33,58.95,68.60,2017Q1
Central Area,Category 2,>100 - 200,48.77,64.59,80.60,2017Q1
Central Area,Category 2,>200 - 500,51.06,63.45,76.07,2017Q1
Central Area,Category 2,>500 - 1000,50.66,66.00,73.59,2017Q1
Central Area,Category 2,>1000,54.91,69.07,86.11,2017Q1
Central Area,Category 1,100 & Below,90.62,99.02,105.41,2017Q2
Central Area,Category 1,>100 - 200,86.39,96.87,107.63,2017Q2
Central Area,Category 1,>200 - 500,86.11,96.16,105.62,2017Q2
Central Area,Category 1,>500 - 1000,86.11,96.33,103.26,2017Q2
Central Area,Category 1,>1000,86.22,92.36,97.68,2017Q2
Central Area,Category 2,100 & Below,44.87,56.90,68.97,2017Q2
Central Area,Category 2,>100 - 200,53.89,64.58,78.05,2017Q2
Central Area,Category 2,>200 - 500,54.62,67.81,77.50,2017Q2
Central Area,Category 2,>500 - 1000,51.67,64.58,78.15,2017Q2
Central Area,Category 2,>1000,52.74,68.35,70.52,2017Q2
Central Area,Category 1,100 & Below,91.49,96.87,103.69,2017Q3
Central Area,Category 1,>100 - 200,87.57,96.84,102.25,2017Q3
Central Area,Category 1,>200 - 500,86.10,93.44,110.50,2017Q3
Central Area,Category 1,>500 - 1000,88.82,95.80,103.85,2017Q3
Central Area,Category 1,>1000,86.11,93.65,102.26,2017Q3
Central Area,Category 2,100 & Below,50.16,59.24,70.66,2017Q3
Central Area,Category 2,>100 - 200,51.63,64.57,80.71,2017Q3
Central Area,Category 2,>200 - 500,51.43,63.76,75.77,2017Q3
Central Area,Category 2,>500 - 1000,48.39,63.44,78.04,2017Q3
Central Area,Category 2,>1000,64.58,67.66,86.11,2017Q3
Central Area,Category 1,100 & Below,96.85,102.26,110.94,2017Q4
