Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
FORTUNE CENTRE,"900,000","1,140.98",789,04 Jan 2010,190 MIDDLE ROAD #15-07,Resale,Strata,106,"8,491",Office,99 yrs from 18/10/1980,07,18,188979,Central Region,Rochor
JALAN BESAR CONSERVATION AREA,"638,000","1,485.43",430,05 Jan 2010,203A LAVENDER STREET,Resale,Strata,138,"4,623",Office,Freehold,12,33,338763,Central Region,Kallang
CONCORDE SHOPPING CENTRE,"228,780",279.86,817,07 Jan 2010,317 OUTRAM ROAD #B1-35,Resale,Strata,26,"8,799",Office,99 yrs from 16/06/1980,03,16,169075,Central Region,Bukit Merah
THE CENTRAL,"1,079,500",635.08,"1,700",08 Jan 2010,6 EU TONG SEN STREET #10-20,Resale,Strata,59,"18,297",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
GUTHRIE BUILDING,"3,332,600","4,833.04",690,08 Jan 2010,150 CHANGI ROAD #02-01 ETC,Resale,Strata,449,"7,422",Office,Freehold,14,41,419973,Central Region,Geylang
N.A.,"2,500,000","8,062.24",310,11 Jan 2010,81 JOO CHIAT ROAD #04-01 ETC,Resale,Strata,749,"3,338",Office,99 yrs from 23/06/1995,15,42,427725,Central Region,Geylang
PEOPLE'S PARK CENTRE,"310,000",452.09,686,13 Jan 2010,101 UPPER CROSS STREET #04-08,Resale,Strata,42,"7,381",Office,99 yrs from 02/06/1970,01,05,058357,Central Region,Outram
THE CENTRAL,"1,377,760",871.88,"1,580",15 Jan 2010,6 EU TONG SEN STREET #06-06,Resale,Strata,81,"17,009",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
THE MODULES,"850,000","1,345.5",632,18 Jan 2010,387 JOO CHIAT ROAD #04-13,Resale,Strata,125,"6,800",Office,Freehold,15,42,427623,Central Region,Marine Parade
ROBINSON POINT,"203,250,000","15,111.58","13,450",19 Jan 2010,"37,39 ETC ROBINSON ROAD",Resale,Land,"1,403.9","144,775",Office,Freehold,01,06,068911,Central Region,Downtown Core
THE MODULES,"560,000",495.14,"1,131",25 Jan 2010,387 JOO CHIAT ROAD #03-01,Resale,Strata,46,"12,174",Office,Freehold,15,42,427623,Central Region,Marine Parade
PENINSULA PLAZA,"482,048",344.45,"1,399",26 Jan 2010,111 NORTH BRIDGE ROAD #05-31,Resale,Strata,32,"15,064",Office,999 yrs from 29/10/1829,06,17,179098,Central Region,Downtown Core
THE CENTRAL,"1,150,000",635.08,"1,811",26 Jan 2010,6 EU TONG SEN STREET #12-17,Resale,Strata,59,"19,492",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
THE PLAZA,"658,512",731.95,900,26 Jan 2010,7500A BEACH ROAD #10-322,Resale,Strata,68,"9,684",Office,99 yrs from 03/09/1968,07,19,199591,Central Region,Kallang
GEYLANG CONSERVATION AREA,"700,000","1,248.62",561,26 Jan 2010,259B GEYLANG ROAD,Resale,Strata,116,"6,034",Office,Freehold,14,38,389315,Central Region,Geylang
SUNTEC TOWER TWO,"23,519,050","12,712.28","1,850",27 Jan 2010,"9 TEMASEK BOULEVARD #32-01,02,03",Resale,Strata,"1,181","19,915",Office,99 yrs from 01/03/1989,01,03,038989,Central Region,Downtown Core
INTERNATIONAL PLAZA,"1,217,400",936.47,"1,300",27 Jan 2010,10 ANSON ROAD #29-12,Resale,Strata,87,"13,993",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
THE PLAZA,"675,220",688.9,980,29 Jan 2010,7500A BEACH ROAD #11-308,Resale,Strata,64,"10,550",Office,99 yrs from 03/09/1968,07,19,199591,Central Region,Kallang
THE PLAZA,"689,000",688.9,"1,000",29 Jan 2010,7500A BEACH ROAD #08-317,Resale,Strata,64,"10,766",Office,99 yrs from 03/09/1968,07,19,199591,Central Region,Kallang
FOOK HAI BUILDING,"538,000",667.37,806,01 Feb 2010,150 SOUTH BRIDGE ROAD #05-05,Resale,Strata,62,"8,677",Office,99 yrs from 18/01/1972,01,05,058727,Central Region,Outram
THE CENTRAL,"1,248,240",742.72,"1,681",02 Feb 2010,6 EU TONG SEN STREET #12-01,Resale,Strata,69,"18,090",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
THE CENTRAL,"976,080",581.26,"1,679",02 Feb 2010,6 EU TONG SEN STREET #12-02,Resale,Strata,54,"18,076",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
THE CENTRAL,"980,000",613.55,"1,597",03 Feb 2010,6 EU TONG SEN STREET #06-04,Resale,Strata,57,"17,193",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
