year,occupation,employed
2001,managers & administrators (including working proprietors),233300
2001,professionals,233000
2001,associate professionals & technicians,238200
2001,clerical support workers,221900
2001,service & sales workers,200700
2001,craftsmen & related trades workers,102500
2001,plant & machine operators & assemblers,173600
2001,"cleaners, labourers & related workers",114400
2001,others,64900
2002,managers & administrators (including working proprietors),233300
2002,professionals,236300
2002,associate professionals & technicians,234400
2002,clerical support workers,217800
2002,service & sales workers,198800
2002,craftsmen & related trades workers,105100
2002,plant & machine operators & assemblers,171200
2002,"cleaners, labourers & related workers",114800
2002,others,61900
2003,managers & administrators (including working proprietors),243200
2003,professionals,247100
2003,associate professionals & technicians,240800
2003,clerical support workers,219100
2003,service & sales workers,196800
2003,craftsmen & related trades workers,98000
2003,plant & machine operators & assemblers,166700
2003,"cleaners, labourers & related workers",123800
2003,others,69800
2004,managers & administrators (including working proprietors),242000
2004,professionals,250000
2004,associate professionals & technicians,259800
2004,clerical support workers,220400
2004,service & sales workers,203500
2004,craftsmen & related trades workers,97200
2004,plant & machine operators & assemblers,164200
2004,"cleaners, labourers & related workers",123900
2004,others,71100
2007,managers & administrators (including working proprietors),288500
2007,professionals,320200
2007,associate professionals & technicians,296000
2007,clerical support workers,235200
2007,service & sales workers,229200
2007,craftsmen & related trades workers,97400
2007,plant & machine operators & assemblers,166400
2007,"cleaners, labourers & related workers",145600
2007,others,63700
2007a,managers & administrators (including working proprietors),281200
2007a,professionals,309600
2007a,associate professionals & technicians,289500
2007a,clerical support workers,231200
2007a,service & sales workers,225400
2007a,craftsmen & related trades workers,95600
2007a,plant & machine operators & assemblers,164000
2007a,"cleaners, labourers & related workers",143600
2007a,others,63100
2008,managers & administrators (including working proprietors),303300
2008,professionals,334500
2008,associate professionals & technicians,307800
2008,clerical support workers,237000
2008,service & sales workers,219300
2008,craftsmen & related trades workers,90800
2008,plant & machine operators & assemblers,157400
2008,"cleaners, labourers & related workers",138500
2008,others,63400
2009,managers & administrators (including working proprietors),310800
2009,professionals,341800
2009,associate professionals & technicians,310600
2009,clerical support workers,234800
2009,service & sales workers,219700
