"Quarter","Private & Public Sector Office Space Planned with Planning Approvals ('000 SQ M GROSS)","Private & Public Sector Office Space Under Construction  ('000 SQ M GROSS)","Supply of Private & Public Sector Office Space in the Pipeline ('000 SQ M GROSS)"
"2010Q1","217","798","1030"
"2010Q2","192","782","1301"
"2010Q3","223","664","1218"
"2010Q4","409","653","1280"
"2011Q1","284","710","1265"
"2011Q2","288","588","1203"
"2011Q3","359","574","1166"
"2011Q4","321","581","1114"
"2012Q1","198","564","1157"
"2012Q2","455","659","1229"
"2012Q3","297","876","1267"
"2012Q4","190","970","1276"
"2013Q1","187","977","1253"
"2013Q2","147","1002","1358"
"2013Q3","215","871","1213"
"2013Q4","203","800","1123"
"2014Q1","149","849","1128"
"2014Q2","195","860","1215"
"2014Q3","101","986","1247"
"2014Q4","94","814","1056"
"2015Q1","134","746","1028"
"2015Q2","193","769","1052"
"2015Q3","167","741","1056"
"2015Q4","278","715","1049"
"2016Q1","184","825","1065"
"2016Q2","226","796","1037"
"2016Q3","157","722","993"
"2016Q4","169","617","887"
"2017Q1","222","604","926"
"2017Q2","239","480","906"
"2017Q3","222","385","795"
"2017Q4","96","501","785"
"2018Q1","155","636","908"
"2018Q2","151","574","841"
"2018Q3","168","625","794"
"2018Q4","100","632","857"
"2019Q1","44","689","858"
"2019Q2","42","690","818"
"2019Q3","42","696","824"
"2019Q4","125","628","918"
"2020Q1","161","521","722"
"2020Q2","215","453","708"
"2020Q3","287","480","790"
"2020Q4","292","478","788"
"2021Q1","296","465","776"
"2021Q2","248","449","712"
"2021Q3","283","472","770"
"2021Q4","317","469","916"
"2022Q1","324","510","987"
"2022Q2","348","520","1006"
"2022Q3","307","551","996"
"2022Q4","330","542","1068"
"2023Q1","333","504","1034"
"2023Q2","359","568","997"
"2023Q3","513","564","1147"
"2023Q4","567","559","1196"
"2024Q1","505","620","1195"
"2024Q2","506","505","1081"
"2024Q3","506","397","903"
"2024Q4","485","424","909"
"2025Q1","400","456","856"
"2025Q2","350","518","871"
"2025Q3","343","527","870"
"2025Q4","336","531","867"
"2026Q1","347","520","867"
