quarter,industry1,industry2,industry3,employment_change,,,,,,
1991-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.1,,,,,,
1991-Q1,manufacturing,textile and wearing apparel,textile and wearing apparel,-1,,,,,,
1991-Q1,manufacturing,paper products and publishing,paper products and publishing,0.1,,,,,,
1991-Q1,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",0.3,,,,,,
1991-Q1,manufacturing,fabricated metal products,fabricated metal products,0.2,,,,,,
1991-Q1,manufacturing,machinery and equipment,machinery and equipment,0.5,,,,,,
1991-Q1,manufacturing,electrical products,electrical products,-,,,,,,
1991-Q1,manufacturing,electronic products,electronic products,-2.6,,,,,,
1991-Q1,manufacturing,medical and precision instruments,medical and precision instruments,-,,,,,,
1991-Q1,manufacturing,transport equipment,transport equipment,2.3,,,,,,
1991-Q1,manufacturing,other manufacturing industries,other manufacturing industries,-0.1,,,,,,
1991-Q1,construction,construction,construction,4.9,,,,,,
1991-Q1,services,wholesale and retail trade,wholesale trade,3,,,,,,
1991-Q1,services,wholesale and retail trade,retail trade,-,,,,,,
1991-Q1,services,"transport, storage and communications","transport, storage and communications",0.7,,,,,,
1991-Q1,services,financial services,financial institutions,0.3,,,,,,
1991-Q1,services,financial services,insurance,-,,,,,,
1991-Q1,services,business and real estate services,business and real estate services,-0.1,,,,,,
1991-Q1,services,"community, social and personal services",public administration,n.a.,,,,,,
1991-Q1,services,"community, social and personal services",education,n.a.,,,,,,
1991-Q1,services,"community, social and personal services",health and social work,-,,,,,,
1991-Q1,services,"community, social and personal services","other community, social and personal services",3.4,,,,,,
1991-Q1,others,others,others,-0.2,,,,,,
1991-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-0.2,,,,,,
1991-Q2,manufacturing,textile and wearing apparel,textile and wearing apparel,-1.4,,,,,,
1991-Q2,manufacturing,paper products and publishing,paper products and publishing,0.4,,,,,,
1991-Q2,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",0.5,,,,,,
1991-Q2,manufacturing,fabricated metal products,fabricated metal products,-,,,,,,
1991-Q2,manufacturing,machinery and equipment,machinery and equipment,0.5,,,,,,
1991-Q2,manufacturing,electrical products,electrical products,-0.5,,,,,,
1991-Q2,manufacturing,electronic products,electronic products,0.8,,,,,,
1991-Q2,manufacturing,medical and precision instruments,medical and precision instruments,-0.2,,,,,,
1991-Q2,manufacturing,transport equipment,transport equipment,2.1,,,,,,
1991-Q2,manufacturing,other manufacturing industries,other manufacturing industries,-,,,,,,
1991-Q2,construction,construction,construction,6.3,,,,,,
1991-Q2,services,wholesale and retail trade,wholesale trade,2.7,,,,,,
1991-Q2,services,wholesale and retail trade,retail trade,-0.7,,,,,,
1991-Q2,services,"transport, storage and communications","transport, storage and communications",0.1,,,,,,
1991-Q2,services,financial services,financial institutions,0.2,,,,,,
1991-Q2,services,financial services,insurance,0.1,,,,,,
1991-Q2,services,business and real estate services,business and real estate services,2.8,,,,,,
1991-Q2,services,"community, social and personal services",public administration,n.a.,,,,,,
1991-Q2,services,"community, social and personal services",education,n.a.,,,,,,
1991-Q2,services,"community, social and personal services",health and social work,0.4,,,,,,
1991-Q2,services,"community, social and personal services","other community, social and personal services",2.7,,,,,,
1991-Q2,others,others,others,-0.1,,,,,,
1991-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.1,,,,,,
1991-Q3,manufacturing,textile and wearing apparel,textile and wearing apparel,-0.3,,,,,,
1991-Q3,manufacturing,paper products and publishing,paper products and publishing,0.1,,,,,,
1991-Q3,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",0.5,,,,,,
1991-Q3,manufacturing,fabricated metal products,fabricated metal products,-,,,,,,
1991-Q3,manufacturing,machinery and equipment,machinery and equipment,0.1,,,,,,
1991-Q3,manufacturing,electrical products,electrical products,-0.2,,,,,,
1991-Q3,manufacturing,electronic products,electronic products,-1.4,,,,,,
1991-Q3,manufacturing,medical and precision instruments,medical and precision instruments,-0.1,,,,,,
1991-Q3,manufacturing,transport equipment,transport equipment,1.6,,,,,,
1991-Q3,manufacturing,other manufacturing industries,other manufacturing industries,-0.3,,,,,,
1991-Q3,construction,construction,construction,7.4,,,,,,
1991-Q3,services,wholesale and retail trade,wholesale trade,1,,,,,,
1991-Q3,services,wholesale and retail trade,retail trade,-0.9,,,,,,
1991-Q3,services,"transport, storage and communications","transport, storage and communications",1.1,,,,,,
1991-Q3,services,financial services,financial institutions,0.2,,,,,,
1991-Q3,services,financial services,insurance,0.1,,,,,,
1991-Q3,services,business and real estate services,business and real estate services,1.6,,,,,,
1991-Q3,services,"community, social and personal services",public administration,n.a.,,,,,,
1991-Q3,services,"community, social and personal services",education,n.a.,,,,,,
1991-Q3,services,"community, social and personal services",health and social work,-,,,,,,
1991-Q3,services,"community, social and personal services","other community, social and personal services",4.5,,,,,,
1991-Q3,others,others,others,-,,,,,,
1991-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.2,,,,,,
1991-Q4,manufacturing,textile and wearing apparel,textile and wearing apparel,0.4,,,,,,
1991-Q4,manufacturing,paper products and publishing,paper products and publishing,0.2,,,,,,
1991-Q4,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",-,,,,,,
1991-Q4,manufacturing,fabricated metal products,fabricated metal products,-0.1,,,,,,
1991-Q4,manufacturing,machinery and equipment,machinery and equipment,0.2,,,,,,
1991-Q4,manufacturing,electrical products,electrical products,0.1,,,,,,
1991-Q4,manufacturing,electronic products,electronic products,-2.3,,,,,,
1991-Q4,manufacturing,medical and precision instruments,medical and precision instruments,-,,,,,,
1991-Q4,manufacturing,transport equipment,transport equipment,1.3,,,,,,
1991-Q4,manufacturing,other manufacturing industries,other manufacturing industries,-0.2,,,,,,
1991-Q4,construction,construction,construction,-0.9,,,,,,
1991-Q4,services,wholesale and retail trade,wholesale trade,1.3,,,,,,
1991-Q4,services,wholesale and retail trade,retail trade,2.3,,,,,,
1991-Q4,services,"transport, storage and communications","transport, storage and communications",1.4,,,,,,
1991-Q4,services,financial services,financial institutions,0.4,,,,,,
1991-Q4,services,financial services,insurance,0.1,,,,,,
1991-Q4,services,business and real estate services,business and real estate services,-0.3,,,,,,
1991-Q4,services,"community, social and personal services",public administration,n.a.,,,,,,
1991-Q4,services,"community, social and personal services",education,n.a.,,,,,,
1991-Q4,services,"community, social and personal services",health and social work,-0.2,,,,,,
1991-Q4,services,"community, social and personal services","other community, social and personal services",4.6,,,,,,
1991-Q4,others,others,others,0.2,,,,,,
1992-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-0.1,,,,,,
1992-Q1,manufacturing,textile and wearing apparel,textile and wearing apparel,-0.5,,,,,,
1992-Q1,manufacturing,paper products and publishing,paper products and publishing,0.5,,,,,,
1992-Q1,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",0.1,,,,,,
1992-Q1,manufacturing,fabricated metal products,fabricated metal products,-,,,,,,
1992-Q1,manufacturing,machinery and equipment,machinery and equipment,0.6,,,,,,
1992-Q1,manufacturing,electrical products,electrical products,-,,,,,,
1992-Q1,manufacturing,electronic products,electronic products,1.5,,,,,,
1992-Q1,manufacturing,medical and precision instruments,medical and precision instruments,-1,,,,,,
1992-Q1,manufacturing,transport equipment,transport equipment,0.3,,,,,,
1992-Q1,manufacturing,other manufacturing industries,other manufacturing industries,-0.2,,,,,,
1992-Q1,construction,construction,construction,-1.2,,,,,,
1992-Q1,services,wholesale and retail trade,wholesale trade,1.9,,,,,,
1992-Q1,services,wholesale and retail trade,retail trade,1.5,,,,,,
1992-Q1,services,"transport, storage and communications","transport, storage and communications",1.5,,,,,,
1992-Q1,services,financial services,financial institutions,0.5,,,,,,
1992-Q1,services,financial services,insurance,0.4,,,,,,
1992-Q1,services,business and real estate services,business and real estate services,2.5,,,,,,
1992-Q1,services,"community, social and personal services",public administration,n.a.,,,,,,
1992-Q1,services,"community, social and personal services",education,n.a.,,,,,,
1992-Q1,services,"community, social and personal services",health and social work,0.7,,,,,,
1992-Q1,services,"community, social and personal services","other community, social and personal services",4.5,,,,,,
1992-Q1,others,others,others,-0.1,,,,,,
1992-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-0.2,,,,,,
1992-Q2,manufacturing,textile and wearing apparel,textile and wearing apparel,-0.7,,,,,,
1992-Q2,manufacturing,paper products and publishing,paper products and publishing,-0.9,,,,,,
1992-Q2,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",0.7,,,,,,
1992-Q2,manufacturing,fabricated metal products,fabricated metal products,-1.3,,,,,,
1992-Q2,manufacturing,machinery and equipment,machinery and equipment,0.6,,,,,,
1992-Q2,manufacturing,electrical products,electrical products,-0.6,,,,,,
1992-Q2,manufacturing,electronic products,electronic products,-,,,,,,
1992-Q2,manufacturing,medical and precision instruments,medical and precision instruments,0.6,,,,,,
1992-Q2,manufacturing,transport equipment,transport equipment,0.7,,,,,,
1992-Q2,manufacturing,other manufacturing industries,other manufacturing industries,0.3,,,,,,
1992-Q2,construction,construction,construction,3.5,,,,,,
1992-Q2,services,wholesale and retail trade,wholesale trade,1.3,,,,,,
1992-Q2,services,wholesale and retail trade,retail trade,-0.5,,,,,,
1992-Q2,services,"transport, storage and communications","transport, storage and communications",0.9,,,,,,
1992-Q2,services,financial services,financial institutions,0.1,,,,,,
1992-Q2,services,financial services,insurance,0.1,,,,,,
1992-Q2,services,business and real estate services,business and real estate services,2.5,,,,,,
1992-Q2,services,"community, social and personal services",public administration,n.a.,,,,,,
1992-Q2,services,"community, social and personal services",education,n.a.,,,,,,
1992-Q2,services,"community, social and personal services",health and social work,1.6,,,,,,
1992-Q2,services,"community, social and personal services","other community, social and personal services",-2,,,,,,
1992-Q2,others,others,others,0.7,,,,,,
1992-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.4,,,,,,
1992-Q3,manufacturing,textile and wearing apparel,textile and wearing apparel,-1.9,,,,,,
1992-Q3,manufacturing,paper products and publishing,paper products and publishing,0.3,,,,,,
1992-Q3,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",0.3,,,,,,
1992-Q3,manufacturing,fabricated metal products,fabricated metal products,0.2,,,,,,
1992-Q3,manufacturing,machinery and equipment,machinery and equipment,0.7,,,,,,
1992-Q3,manufacturing,electrical products,electrical products,-0.1,,,,,,
1992-Q3,manufacturing,electronic products,electronic products,0.7,,,,,,
1992-Q3,manufacturing,medical and precision instruments,medical and precision instruments,-0.1,,,,,,
1992-Q3,manufacturing,transport equipment,transport equipment,-5.7,,,,,,
1992-Q3,manufacturing,other manufacturing industries,other manufacturing industries,0.5,,,,,,
1992-Q3,construction,construction,construction,5,,,,,,
1992-Q3,services,wholesale and retail trade,wholesale trade,1.1,,,,,,
1992-Q3,services,wholesale and retail trade,retail trade,-0.2,,,,,,
1992-Q3,services,"transport, storage and communications","transport, storage and communications",2.4,,,,,,
1992-Q3,services,financial services,financial institutions,-,,,,,,
1992-Q3,services,financial services,insurance,0.1,,,,,,
1992-Q3,services,business and real estate services,business and real estate services,1.8,,,,,,
1992-Q3,services,"community, social and personal services",public administration,n.a.,,,,,,
1992-Q3,services,"community, social and personal services",education,n.a.,,,,,,
1992-Q3,services,"community, social and personal services",health and social work,0.4,,,,,,
1992-Q3,services,"community, social and personal services","other community, social and personal services",1.7,,,,,,
1992-Q3,others,others,others,2.2,,,,,,
1992-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.3,,,,,,
1992-Q4,manufacturing,textile and wearing apparel,textile and wearing apparel,-0.7,,,,,,
1992-Q4,manufacturing,paper products and publishing,paper products and publishing,-0.1,,,,,,
1992-Q4,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",-,,,,,,
1992-Q4,manufacturing,fabricated metal products,fabricated metal products,-0.3,,,,,,
1992-Q4,manufacturing,machinery and equipment,machinery and equipment,-0.3,,,,,,
1992-Q4,manufacturing,electrical products,electrical products,-0.4,,,,,,
1992-Q4,manufacturing,electronic products,electronic products,-1.5,,,,,,
1992-Q4,manufacturing,medical and precision instruments,medical and precision instruments,0.1,,,,,,
1992-Q4,manufacturing,transport equipment,transport equipment,-1,,,,,,
1992-Q4,manufacturing,other manufacturing industries,other manufacturing industries,0.3,,,,,,
1992-Q4,construction,construction,construction,4,,,,,,
1992-Q4,services,wholesale and retail trade,wholesale trade,1.3,,,,,,
1992-Q4,services,wholesale and retail trade,retail trade,1.6,,,,,,
1992-Q4,services,"transport, storage and communications","transport, storage and communications",1.4,,,,,,
1992-Q4,services,financial services,financial institutions,0.3,,,,,,
1992-Q4,services,financial services,insurance,0.2,,,,,,
1992-Q4,services,business and real estate services,business and real estate services,-0.2,,,,,,
1992-Q4,services,"community, social and personal services",public administration,n.a.,,,,,,
1992-Q4,services,"community, social and personal services",education,n.a.,,,,,,
1992-Q4,services,"community, social and personal services",health and social work,0.6,,,,,,
1992-Q4,services,"community, social and personal services","other community, social and personal services",1.4,,,,,,
1992-Q4,others,others,others,-,,,,,,
1993-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.2,,,,,,
1993-Q1,manufacturing,textile and wearing apparel,textile and wearing apparel,-1,,,,,,
1993-Q1,manufacturing,paper products and publishing,paper products and publishing,0.2,,,,,,
1993-Q1,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",0.7,,,,,,
1993-Q1,manufacturing,fabricated metal products,fabricated metal products,-,,,,,,
1993-Q1,manufacturing,machinery and equipment,machinery and equipment,0.2,,,,,,
1993-Q1,manufacturing,electrical products,electrical products,-0.3,,,,,,
1993-Q1,manufacturing,electronic products,electronic products,-3,,,,,,
1993-Q1,manufacturing,medical and precision instruments,medical and precision instruments,3.7,,,,,,
1993-Q1,manufacturing,transport equipment,transport equipment,-1.2,,,,,,
1993-Q1,manufacturing,other manufacturing industries,other manufacturing industries,-0.1,,,,,,
1993-Q1,construction,construction,construction,5.8,,,,,,
1993-Q1,services,wholesale and retail trade,wholesale trade,2,,,,,,
1993-Q1,services,wholesale and retail trade,retail trade,2.5,,,,,,
1993-Q1,services,"transport, storage and communications","transport, storage and communications",1.8,,,,,,
1993-Q1,services,financial services,financial institutions,0.9,,,,,,
1993-Q1,services,financial services,insurance,0.3,,,,,,
1993-Q1,services,business and real estate services,business and real estate services,1.4,,,,,,
1993-Q1,services,"community, social and personal services",public administration,n.a.,,,,,,
1993-Q1,services,"community, social and personal services",education,n.a.,,,,,,
1993-Q1,services,"community, social and personal services",health and social work,0.9,,,,,,
