"Quarter","Rental Index of Private Sector Office Space in Central Area (INDEX)","Rental Index of Private Sector Office Space in Central Region (INDEX)","Rental Index of Private Sector Office Space in Fringe Area (INDEX)"
"2010Q1","145.8","142.1","119.3"
"2010Q2","147.3","143.7","121.2"
"2010Q3","156.2","152.3","127.4"
"2010Q4","163.6","159.4","131.5"
"2011Q1","172.0","168.0","138.9"
"2011Q2","174.4","170.6","142.6"
"2011Q3","175.9","172.2","142.9"
"2011Q4","176.8","172.8","142.7"
"2012Q1","175.6","172.0","142.7"
"2012Q2","174.6","171.1","142.7"
"2012Q3","174.4","171.0","142.7"
"2012Q4","173.7","170.5","143.1"
"2013Q1","173.4","170.2","143.0"
"2013Q2","174.0","170.5","143.1"
"2013Q3","175.8","171.9","143.2"
"2013Q4","176.9","172.8","143.9"
"2014Q1","181.6","176.9","146.6"
"2014Q2","187.0","181.8","149.9"
"2014Q3","192.3","186.6","152.8"
"2014Q4","196.2","189.8","154.4"
"2015Q1","198.0","190.9","153.1"
"2015Q2","192.9","186.0","149.5"
"2015Q3","187.0","180.6","147.8"
"2015Q4","183.8","177.4","144.8"
"2016Q1","180.1","173.7","140.6"
"2016Q2","174.1","167.6","135.3"
"2016Q3","172.0","165.7","135.0"
"2016Q4","168.6","162.8","133.6"
"2017Q1","162.2","157.3","133.6"
"2017Q2","160.0","155.6","133.9"
"2017Q3","163.8","159.3","136.8"
"2017Q4","168.1","163.4","139.7"
"2018Q1","172.5","167.6","143.2"
"2018Q2","175.2","170.3","145.7"
"2018Q3","180.4","174.6","146.0"
"2018Q4","181.4","175.5","145.0"
"2019Q1","180.6","174.5","143.2"
"2019Q2","181.4","176.8","149.7"
"2019Q3","182.2","175.7","145.5"
"2019Q4","175.8","170.0","143.1"
"2020Q1","176.3","168.7","141.3"
"2020Q2","172.2","168.7","142.8"
"2020Q3","167.0","161.1","135.5"
"2020Q4","160.0","155.5","130.9"
"2021Q1","165.3","160.6","132.6"
"2021Q2","167.3","162.7","134.9"
"2021Q3","160.6","157.0","134.6"
"2021Q4","161.9","158.4","135.0"
"2022Q1","163.8","160.9","140.7"
"2022Q2","166.4","164.8","153.1"
"2022Q3","169.9","168.3","156.9"
"2022Q4","181.1","176.9","150.6"
"2023Q1","188.2","185.9","163.9"
"2023Q2","191.0","190.2","177.2"
"2023Q3","200.9","199.5","182.0"
"2023Q4","201.9","200.1","178.9"
"2024Q1","198.9","196.7","174.6"
"2024Q2","203.7","202.8","186.6"
"2024Q3","202.7","201.8","187.0"
"2024Q4","200.3","200.0","188.1"
"2025Q1","200.5","200.6","191.9"
"2025Q2","199.7","200.0","192.1"
"2025Q3","199.5","199.8","192.4"
"2025Q4","200.2","200.6","193.9"
"2026Q1","199.5","200.2","195.1"
