"Quarter","Vacancy Rate of Public Sector Office Space (Whole Island) (per cent)","Vacancy Rate of Public Sector Office Space in Central Region (per cent)","Vacancy Rate of Public Sector Office Space in Downtown Core Planning Area (per cent)","Vacancy Rate of Public Sector Office Space in Outside Central Region (per cent)"
"2010Q1","6.8","6.0","11.8","10.3"
"2010Q2","7.1","6.2","11.7","11.3"
"2010Q3","6.4","5.9","8.9","8.3"
"2010Q4","6.9","6.7","11.5","7.5"
"2011Q1","6.0","5.7","6.9","7.1"
"2011Q2","6.7","7.1","6.3","5.0"
"2011Q3","6.4","6.8","5.9","4.5"
"2011Q4","5.2","5.5","6.4","4.1"
"2012Q1","7.1","7.7","8.0","4.5"
"2012Q2","6.4","6.6","9.5","5.4"
"2012Q3","5.7","5.9","9.5","4.9"
"2012Q4","5.0","5.0","10.1","4.9"
"2013Q1","5.8","5.7","10.5","5.8"
"2013Q2","5.2","5.2","8.8","5.3"
"2013Q3","5.7","5.5","9.3","6.3"
"2013Q4","5.4","5.1","10.4","6.6"
"2014Q1","5.3","5.1","11.0","6.2"
"2014Q2","5.0","4.9","9.9","5.4"
"2014Q3","4.7","4.2","8.2","7.1"
"2014Q4","5.4","5.3","14.3","5.8"
"2015Q1","6.2","6.3","13.7","6.2"
"2015Q2","6.4","5.9","11.0","9.1"
"2015Q3","6.3","5.8","11.5","8.7"
"2015Q4","6.5","5.9","12.9","9.1"
"2016Q1","5.2","4.4","9.0","8.8"
"2016Q2","5.0","4.2","9.7","8.3"
"2016Q3","6.3","4.9","8.3","12.0"
"2016Q4","6.2","5.2","9.0","10.3"
"2017Q1","6.0","5.0","8.3","10.2"
"2017Q2","6.0","4.8","5.9","10.7"
"2017Q3","6.8","5.7","6.6","11.4"
"2017Q4","6.2","5.3","5.8","10.3"
"2018Q1","6.4","5.2","5.9","11.0"
"2018Q2","6.2","5.2","5.9","10.6"
"2018Q3","6.4","5.6","5.1","9.4"
"2018Q4","6.5","5.8","5.8","9.0"
"2019Q1","7.1","6.5","10.6","9.4"
"2019Q2","6.7","6.1","9.2","8.9"
"2019Q3","6.2","5.7","9.8","8.1"
"2019Q4","5.9","5.4","7.0","7.8"
"2020Q1","6.2","5.8","7.7","7.7"
"2020Q2","6.6","6.1","7.0","8.5"
"2020Q3","7.2","6.9","6.3","8.5"
"2020Q4","7.1","6.7","5.6","8.9"
"2021Q1","6.9","6.2","4.9","10.0"
"2021Q2","7.1","6.1","4.9","10.8"
"2021Q3","7.3","5.5","4.9","14.0"
"2021Q4","7.5","5.6","4.2","14.7"
"2022Q1","7.2","5.4","4.9","14.0"
"2022Q2","7.3","5.8","6.3","13.2"
"2022Q3","6.8","5.1","4.9","13.2"
"2022Q4","6.8","5.1","4.9","13.3"
"2023Q1","7.5","6.2","5.6","12.9"
"2023Q2","8.1","7.0","6.3","12.5"
"2023Q3","7.9","7.0","7.0","11.2"
"2023Q4","7.9","7.2","6.3","10.9"
"2024Q1","7.1","6.1","7.7","10.9"
"2024Q2","7.3","6.5","9.0","10.5"
"2024Q3","7.7","7.1","11.8","10.2"
"2024Q4","8.1","6.3","10.5","14.4"
"2025Q1","7.7","5.8","4.9","14.0"
"2025Q2","8.9","7.3","4.2","14.3"
"2025Q3","9.1","7.7","7.7","14.1"
"2025Q4","9.6","8.4","9.7","14.2"
"2026Q1","10.6","9.6","13.2","14.2"
