"Quarter","Vacant Private Sector Office Space (Whole Island) ('000 SQ M NETT)","Vacant Private Sector Office Space in Central Region ('000 SQ M NETT)","Vacant Private Sector Office Space in Downtown Core Planning Area ('000 SQ M NETT)","Vacant Private Sector Office Space in Outside Central Region ('000 SQ M NETT)"
"2010Q1","779","691","384","88"
"2010Q2","771","688","359","83"
"2010Q3","841","760","443","81"
"2010Q4","771","693","380","78"
"2011Q1","785","710","407","75"
"2011Q2","819","750","485","69"
"2011Q3","766","702","436","64"
"2011Q4","753","687","420","66"
"2012Q1","772","711","455","61"
"2012Q2","716","661","408","55"
"2012Q3","631","575","352","56"
"2012Q4","619","561","339","58"
"2013Q1","601","549","329","52"
"2013Q2","571","515","294","56"
"2013Q3","641","591","338","50"
"2013Q4","666","616","306","50"
"2014Q1","676","598","302","78"
"2014Q2","657","580","289","77"
"2014Q3","562","488","252","74"
"2014Q4","704","619","318","85"
"2015Q1","696","619","323","77"
"2015Q2","663","594","299","69"
"2015Q3","646","582","282","64"
"2015Q4","634","584","284","50"
"2016Q1","628","580","283","48"
"2016Q2","628","580","293","48"
"2016Q3","717","666","379","51"
"2016Q4","783","726","434","57"
"2017Q1","822","718","423","104"
"2017Q2","898","799","489","99"
"2017Q3","968","875","568","93"
"2017Q4","917","829","526","88"
"2018Q1","912","822","498","90"
"2018Q2","900","819","504","81"
"2018Q3","881","804","470","77"
"2018Q4","900","826","439","74"
"2019Q1","867","794","409","73"
"2019Q2","844","772","404","72"
"2019Q3","775","707","360","68"
"2019Q4","778","707","342","71"
"2020Q1","814","694","346","120"
"2020Q2","907","781","405","126"
"2020Q3","885","763","372","122"
"2020Q4","871","755","388","116"
"2021Q1","884","768","417","116"
"2021Q2","939","826","491","113"
"2021Q3","967","858","521","109"
"2021Q4","952","849","533","103"
"2022Q1","952","855","543","97"
"2022Q2","882","785","466","97"
"2022Q3","863","776","462","87"
"2022Q4","831","739","446","92"
"2023Q1","814","729","454","85"
"2023Q2","770","692","421","78"
"2023Q3","708","629","361","79"
"2023Q4","700","627","352","73"
"2024Q1","680","618","351","62"
"2024Q2","784","713","419","71"
"2024Q3","798","731","409","67"
"2024Q4","764","694","377","70"
"2025Q1","866","795","444","71"
"2025Q2","823","755","408","68"
"2025Q3","797","734","381","63"
"2025Q4","783","708","370","75"
"2026Q1","753","680","353","73"
