"Quarter","Vacant Public Sector Office Space (Whole Island) ('000 SQ M NETT)","Vacant Public Sector Office Space in Central Region ('000 SQ M NETT)","Vacant Public Sector Office Space in Downtown Core Planning Area ('000 SQ M NETT)","Vacant Public Sector Office Space in Outside Central Region ('000 SQ M NETT)"
"2010Q1","85","61","23","24"
"2010Q2","89","63","23","26"
"2010Q3","79","60","17","19"
"2010Q4","85","68","22","17"
"2011Q1","74","58","13","16"
"2011Q2","83","72","12","11"
"2011Q3","78","68","11","10"
"2011Q4","64","55","12","9"
"2012Q1","89","79","15","10"
"2012Q2","80","68","18","12"
"2012Q3","72","61","18","11"
"2012Q4","63","52","19","11"
"2013Q1","72","59","19","13"
"2013Q2","65","53","16","12"
"2013Q3","71","57","17","14"
"2013Q4","67","52","19","15"
"2014Q1","66","52","20","14"
"2014Q2","62","50","18","12"
"2014Q3","60","44","15","16"
"2014Q4","69","56","26","13"
"2015Q1","80","66","25","14"
"2015Q2","83","62","20","21"
"2015Q3","82","62","21","20"
"2015Q4","83","62","22","21"
"2016Q1","65","45","13","20"
"2016Q2","62","43","14","19"
"2016Q3","79","50","12","29"
"2016Q4","78","53","13","25"
"2017Q1","76","51","12","25"
"2017Q2","75","49","8","26"
"2017Q3","86","58","9","28"
"2017Q4","78","53","8","25"
"2018Q1","80","53","8","27"
"2018Q2","78","52","8","26"
"2018Q3","80","57","7","23"
"2018Q4","81","59","8","22"
"2019Q1","89","66","15","23"
"2019Q2","84","62","13","22"
"2019Q3","78","58","14","20"
"2019Q4","74","55","10","19"
"2020Q1","78","59","11","19"
"2020Q2","83","62","10","21"
"2020Q3","91","70","9","21"
"2020Q4","90","68","8","22"
"2021Q1","87","62","7","25"
"2021Q2","89","62","7","27"
"2021Q3","92","56","7","36"
"2021Q4","94","56","6","38"
"2022Q1","90","54","7","36"
"2022Q2","92","58","9","34"
"2022Q3","85","51","7","34"
"2022Q4","85","51","7","34"
"2023Q1","95","62","8","33"
"2023Q2","102","70","9","32"
"2023Q3","99","70","10","29"
"2023Q4","100","72","9","28"
"2024Q1","88","60","11","28"
"2024Q2","91","64","13","27"
"2024Q3","96","70","17","26"
"2024Q4","101","62","15","39"
"2025Q1","98","57","7","41"
"2025Q2","114","72","6","42"
"2025Q3","115","76","11","39"
"2025Q4","122","83","14","39"
"2026Q1","134","95","19","39"
