Project Name,block_address,query_used,lat,lon,matched_address
FORTUNE CENTRE,190 MIDDLE ROAD,190 MIDDLE ROAD,1.30042241913975,103.852286627386,190 MIDDLE ROAD FORTUNE CENTRE SINGAPORE 188979
JALAN BESAR CONSERVATION AREA,203A LAVENDER STREET,203A LAVENDER STREET,1.31417081930937,103.859881361105,203A LAVENDER STREET KWAN YIN CHAN LIN SINGAPORE 338763
CONCORDE SHOPPING CENTRE,317 OUTRAM ROAD,317 OUTRAM ROAD,1.28888605616528,103.834206802698,317 OUTRAM ROAD CONCORDE SHOPPING CENTRE SINGAPORE 169075
THE CENTRAL,6 EU TONG SEN STREET,6 EU TONG SEN STREET,1.2888737988701,103.846797382693,6 EU TONG SEN STREET NANYANG INSTITUTE OF MANAGEMENT SINGAPORE 059817
GUTHRIE BUILDING,150 CHANGI ROAD,150 CHANGI ROAD,1.31666836555229,103.902213409767,150 CHANGI ROAD GUTHRIE BUILDING SINGAPORE 419973
N.A.,81 JOO CHIAT ROAD,81 JOO CHIAT ROAD,1.31431177577297,103.899129859948,81 JOO CHIAT ROAD SINGAPORE 427725
PEOPLE'S PARK CENTRE,101 UPPER CROSS STREET,101 UPPER CROSS STREET,1.28549527021288,103.843851997218,101 UPPER CROSS STREET CHINATOWN POST OFFICE SINGAPORE 058357
THE MODULES,387 JOO CHIAT ROAD,387 JOO CHIAT ROAD,1.30796049185682,103.903830279651,387 JOO CHIAT ROAD THE MODULES SINGAPORE 427623
ROBINSON POINT,"37,39 ETC ROBINSON ROAD",37 ROBINSON ROAD,1.27959283204578,103.849547646073,39 ROBINSON ROAD ROBINSON POINT SINGAPORE 068911
PENINSULA PLAZA,111 NORTH BRIDGE ROAD,111 NORTH BRIDGE ROAD,1.29222075807721,103.850612609298,111 NORTH BRIDGE ROAD CONSULATE OF NEPAL SINGAPORE 179098
THE PLAZA,7500A BEACH ROAD,7500A BEACH ROAD,1.29945374471428,103.860070222609,7500A BEACH ROAD EMBASSY OF THE REPUBLIC OF ZIMBABWE SINGAPORE 199591
GEYLANG CONSERVATION AREA,259B GEYLANG ROAD,259B GEYLANG ROAD,1.31248726712219,103.877424666128,259B GEYLANG ROAD GEYLANG CONSERVATION AREA SINGAPORE 389315
SUNTEC TOWER TWO,9 TEMASEK BOULEVARD,9 TEMASEK BOULEVARD,1.29559492037457,103.858968011896,9 TEMASEK BOULEVARD SUNTEC TOWER TWO SINGAPORE 038989
INTERNATIONAL PLAZA,10 ANSON ROAD,10 ANSON ROAD,1.27573568143134,103.845703218601,10 ANSON ROAD CONSULATE-GENERAL OF THE REPUBLIC OF MALTA SINGAPORE 079903
