month,residential_status,seasonally_adjusted_unemployment_rate,non-seasonally_adjusted_unemployment_rate
1992-03,overall,1.8,1.5
1992-06,overall,1.8,2.4
1992-09,overall,2,1.6
1992-12,overall,1.6,1.7
1993-03,overall,1.5,1.2
1993-06,overall,1.8,2.4
1993-09,overall,1.8,1.5
1993-12,overall,1.6,1.7
1994-03,overall,1.7,1.4
1994-06,overall,1.6,2.2
1994-09,overall,1.8,1.4
1994-12,overall,1.8,1.9
1995-03,overall,1.7,1.5
1995-06,overall,1.9,2.5
1995-09,overall,1.6,1.2
1995-12,overall,1.7,1.8
1996-03,overall,1.8,1.5
1996-06,overall,1.8,2.4
1996-09,overall,1.5,1.1
1996-12,overall,1.5,1.6
1997-03,overall,1.4,1.2
1997-06,overall,1.4,1.9
1997-09,overall,1.4,1
1997-12,overall,1.5,1.6
1998-03,overall,1.7,1.4
1998-06,overall,1.9,2.5
1998-09,overall,3.3,2.5
1998-12,overall,3.4,3.6
1999-03,overall,3.1,2.6
1999-06,overall,2.7,3.6
1999-09,overall,3,2.4
1999-12,overall,2.4,2.6
2000-03,overall,2.8,2.3
2000-06,overall,3.4,4.4
2000-09,overall,2,1.6
2000-12,overall,2.2,2.4
2001-03,overall,1.9,1.6
2001-06,overall,2.2,2.7
2001-09,overall,2.9,2.4
2001-12,overall,3.7,3.9
2002-03,overall,3.6,3
2002-06,overall,3.4,4.2
2002-09,overall,3.6,3.1
2002-12,overall,3.7,3.9
2003-03,overall,3.7,3.2
2003-06,overall,3.6,4.5
2003-09,overall,4.8,4.1
2003-12,overall,3.9,4
2004-03,overall,3.7,3.2
2004-06,overall,3.6,4.4
2004-09,overall,3,2.6
2004-12,overall,3.2,3.2
2005-03,overall,3.2,2.8
2005-06,overall,3.3,4.2
2005-09,overall,3.3,2.9
2005-12,overall,2.7,2.6
2006-03,overall,2.4,2.2
2006-06,overall,2.7,3.4
2006-09,overall,2.8,2.4
2006-12,overall,2.8,2.6
2007-03,overall,2.7,2.5
2007-06,overall,2.3,2.9
2007-09,overall,1.7,1.5
2007-12,overall,1.7,1.6
2008-03,overall,1.9,1.8
2008-06,overall,2.2,2.8
2008-09,overall,2.3,1.9
2008-12,overall,2.7,2.4
2009-03,overall,3.2,3
2009-06,overall,3.2,4.1
2009-09,overall,3.3,2.9
2009-12,overall,2.3,2.1
2010-03,overall,2.2,2.1
2010-06,overall,2.2,2.8
2010-09,overall,2.1,1.8
2010-12,overall,2.2,2
2011-03,overall,1.9,1.8
2011-06,overall,2,2.7
2011-09,overall,2.1,1.8
2011-12,overall,2.1,1.8
2012-03,overall,2.1,1.9
2012-06,overall,1.9,2.6
2012-09,overall,1.9,1.7
2012-12,overall,1.9,1.6
2013-03,overall,1.9,1.8
2013-06,overall,2,2.6
2013-09,overall,1.8,1.6
2013-12,overall,1.9,1.6
2014-03,overall,2.1,1.9
2014-06,overall,1.9,2.6
2014-09,overall,1.9,1.7
2014-12,overall,1.9,1.6
2015-03,overall,1.8,1.7
2015-06,overall,2,2.6
2015-09,overall,1.9,1.7
2015-12,overall,1.9,1.6
2016-03,overall,1.9,1.8
2016-06,overall,2.1,2.8
2016-09,overall,2.1,1.8
2016-12,overall,2.2,1.9
2017-03,overall,2.3,2.1
2017-06,overall,2.2,2.9
2017-09,overall,2.1,1.9
2017-12,overall,2.1,1.8
2018-03,overall,2.1,1.9
2018-06,overall,2.1,2.7
2018-09,overall,2.1,1.9
2018-12,overall,2.2,1.9
2019-03,overall,2.2,2
2019-06,overall,2.3,3
2019-09,overall,2.2,2
2019-12,overall,2.2,2
2020-03,overall,2.5,2.2
2020-06,overall,3,3.8
2020-09,overall,3.4,3.2
2020-12,overall,3.2,2.8
2021-03,overall,2.9,2.6
2021-06,overall,2.7,3.4
2021-09,overall,2.6,2.5
2021-12,overall,2.4,2.1
2022-03,overall,2.2,2
2022-06,overall,2.1,2.6
2022-09,overall,2.1,2
2022-12,overall,2,1.8
2023-03,overall,1.8,1.6
2023-06,overall,2,2.4
2023-09,overall,2,1.9
2023-12,overall,2,1.8
2024-03,overall,2,1.9
2024-06,overall,2,2.4
2024-09,overall,1.9,1.8
2024-12,overall,1.9,1.7
2025-03,overall,2,1.8
2025-06,overall,2,2.4
2025-09,overall,2,1.9
2025-12,overall,2,1.8
2026-03,overall,2,1.9
